Dummy driver setup action
Empty test infra_setup action
Empty test app_setup action
Empty test driver_setup action
Empty test infra_start action
Empty test driver_prime action
Empty test app_start action
Empty test driver_run action
Empty test app_stop action
Empty test infra_stop action
Empty test infra_setup action
Empty test app_setup action
Empty test driver_setup action
Empty test infra_start action
Empty test driver_prime action
Empty test app_start action
Empty test driver_run action
Empty test app_stop action
Empty test infra_stop action
